X,Y,is_aves,is_daytime,filename
14.932518,9.135448,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_111500.wav
14.934888,9.13794,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_111500.wav
14.945763,9.148702,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_111500.wav
14.947132,9.150022,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_111500.wav
14.9474745,9.150319,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_111500.wav
14.947199,9.150072,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_111500.wav
10.304411,3.2133458,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_033000.wav
10.350746,3.2662172,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_033000.wav
10.361135,3.306969,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_033000.wav
10.36841,3.216212,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_033000.wav
10.362533,3.4518032,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_033000.wav
10.347881,3.3474026,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_033000.wav
9.949194,3.4211624,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_201500.wav
9.91475,3.4693983,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_201500.wav
9.869439,3.6145656,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_201500.wav
9.930036,3.5037136,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_201500.wav
9.899225,3.4447508,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_201500.wav
9.851982,3.5511699,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_201500.wav
7.0883913,4.552233,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_034500.wav
7.126691,4.4883294,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_034500.wav
7.1627984,4.499296,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_034500.wav
7.0955777,4.47125,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_034500.wav
7.114329,4.4737797,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_034500.wav
7.1434813,4.450314,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_034500.wav
10.318843,5.2617984,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_133000.wav
10.372956,5.449978,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_133000.wav
10.36484,5.1931844,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_133000.wav
9.27568,2.827557,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_133000.wav
9.541483,6.6381125,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_133000.wav
9.582699,6.620807,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_133000.wav
8.675983,2.7250905,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_190000.wav
8.681578,2.7257667,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_190000.wav
8.606403,2.694935,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_190000.wav
8.577696,2.703405,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_190000.wav
8.645176,2.7062254,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_190000.wav
8.636155,2.6885183,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_190000.wav
9.812909,4.4237113,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_191500.wav
9.915542,4.3857822,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_191500.wav
9.881672,4.4662566,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_191500.wav
9.9838705,4.4914174,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_191500.wav
10.188424,4.726963,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_191500.wav
10.097561,4.574063,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_191500.wav
10.195241,5.846313,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_071500.wav
9.676267,6.465452,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_071500.wav
10.527204,4.977727,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_071500.wav
10.442058,5.0000386,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_071500.wav
10.449749,5.5456057,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_071500.wav
10.43363,5.596003,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_071500.wav
9.112928,6.963992,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_124500.wav
8.946085,6.114936,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_124500.wav
8.898739,6.149043,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_124500.wav
9.1859865,6.9101048,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_124500.wav
9.16714,6.909244,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_124500.wav
9.214343,6.941173,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_124500.wav
9.318039,3.8938494,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_194500.wav
9.345179,3.8986917,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_194500.wav
9.373039,3.8401265,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_194500.wav
9.459612,4.094368,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_194500.wav
9.542449,4.1934853,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_194500.wav
9.565656,4.2600117,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_194500.wav
6.9786334,4.384942,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_141500.wav
6.988415,4.388903,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_141500.wav
6.979922,4.3912964,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_141500.wav
6.993113,4.366538,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_141500.wav
7.002601,4.41113,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_141500.wav
6.9941654,4.3777323,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_141500.wav
5.564943,4.3213024,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_183000.wav
5.655018,4.2792773,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_183000.wav
5.710742,4.3107333,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_183000.wav
7.186947,4.4122596,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_104500.wav
7.3368597,4.4704294,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_104500.wav
7.154881,4.428519,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_104500.wav
9.853389,5.5809855,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_104500.wav
10.383185,3.3745875,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_021500.wav
10.409258,3.4028862,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_021500.wav
10.240187,3.5239847,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_021500.wav
10.373104,3.4472485,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_021500.wav
10.349263,3.340319,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_021500.wav
10.474595,3.3853245,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_021500.wav
10.436793,2.904498,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_200000.wav
10.435329,2.886235,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_200000.wav
10.438118,2.8395846,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_200000.wav
10.453714,2.9385102,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_200000.wav
10.427288,2.8478107,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_200000.wav
10.350565,2.8765235,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_200000.wav
9.805941,6.3199472,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_150000.wav
9.789755,6.3365855,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_150000.wav
9.825474,6.29643,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_150000.wav
9.787883,6.291796,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_150000.wav
9.922676,6.1132255,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_150000.wav
10.539527,3.8257022,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_150000.wav
10.374961,5.27835,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_094500.wav
10.411223,5.2138743,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_094500.wav
10.372639,5.189879,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_094500.wav
10.370668,5.1816363,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_094500.wav
10.368963,5.1597586,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_094500.wav
10.324783,5.147778,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_094500.wav
9.924737,4.667478,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_151500.wav
9.924725,4.649754,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_151500.wav
9.974986,4.644956,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_151500.wav
9.923834,4.514901,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_151500.wav
9.75509,4.487424,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_151500.wav
9.93098,4.522172,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_151500.wav
8.994434,6.3607087,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_044500.wav
9.069445,6.327395,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_044500.wav
9.083921,6.2748227,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_044500.wav
8.870555,6.457648,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_044500.wav
9.05737,6.2864513,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_044500.wav
9.100359,6.3265204,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_044500.wav
8.524146,5.411172,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_110000.wav
8.555352,5.386608,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_110000.wav
8.845845,6.3038025,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_110000.wav
8.826141,6.3446875,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_110000.wav
8.526785,5.396463,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_110000.wav
8.5991,5.38151,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_110000.wav
10.567738,3.6263678,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_023000.wav
10.444123,3.5990198,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_023000.wav
10.267847,3.4396808,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_023000.wav
10.457841,3.5509987,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_023000.wav
10.506897,3.4373205,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_023000.wav
9.975193,3.4921203,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_023000.wav
9.244169,6.0591846,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_050000.wav
9.248501,5.9605484,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_050000.wav
9.240867,5.997447,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_050000.wav
9.17483,5.9544053,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_050000.wav
9.1745615,5.9622965,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_050000.wav
9.203615,5.946316,1,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_050000.wav
9.368363,2.84622,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_003000.wav
9.260599,2.7920644,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_003000.wav
9.266747,2.8077343,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_003000.wav
9.297282,2.8151906,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_003000.wav
9.306169,2.8322976,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_003000.wav
9.272961,2.810426,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_003000.wav
6.0767317,4.0979414,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_164500.wav
6.1467247,4.0273886,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_164500.wav
6.164731,4.0310035,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_164500.wav
10.258597,3.9227567,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_110000.wav
10.400642,3.8914855,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_110000.wav
10.233176,3.9371367,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_110000.wav
6.621987,4.7746572,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_110000.wav
6.5399685,4.813447,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_110000.wav
6.5036297,4.8024716,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_110000.wav
8.358017,2.663055,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_153000.wav
7.9735312,2.535487,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_153000.wav
7.8735547,2.5757537,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_153000.wav
7.7620044,2.5503669,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_153000.wav
7.7839975,2.561494,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_153000.wav
7.656835,2.5092132,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220504_153000.wav
9.272446,2.794067,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_004500.wav
9.256297,2.7991788,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_004500.wav
9.319311,2.8423831,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_004500.wav
9.287758,2.8097522,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_004500.wav
9.305514,2.8103547,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_004500.wav
9.723498,3.0442238,0,0,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_004500.wav
9.104671,6.896362,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_111500.wav
9.105407,6.9308863,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_111500.wav
8.98653,5.753764,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_111500.wav
9.12241,6.936107,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_111500.wav
9.103517,6.9874506,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_111500.wav
9.133348,6.9671726,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_111500.wav
10.477527,4.9768353,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_060000.wav
7.2806745,4.5787363,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_060000.wav
10.200206,5.851354,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_060000.wav
10.503652,4.0068946,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_060000.wav
10.601844,4.8691115,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_060000.wav
10.350384,5.6826544,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_060000.wav
9.698304,4.2948003,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_180000.wav
9.7153015,4.2725015,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_180000.wav
9.713638,4.2690434,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_180000.wav
9.752092,4.343483,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_180000.wav
9.703954,4.363377,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_180000.wav
9.808452,6.2027626,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220508_180000.wav
8.625891,4.943606,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_190000.wav
8.624715,4.9659224,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_190000.wav
8.624206,4.954261,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_190000.wav
8.599266,4.9386168,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_190000.wav
8.6204405,4.9582577,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_190000.wav
8.619871,4.946846,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_190000.wav
10.432838,2.916756,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_194500.wav
10.443562,2.8913286,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_194500.wav
10.444636,2.849563,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_194500.wav
10.436771,2.874516,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_194500.wav
10.442176,2.8338745,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_194500.wav
10.450231,2.8236308,0,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220507_194500.wav
9.822819,5.9085546,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_064500.wav
9.91454,5.9527736,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_064500.wav
9.878894,6.066172,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_064500.wav
9.748297,6.2117815,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_064500.wav
9.918772,6.0732536,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_064500.wav
10.026416,5.9373097,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_064500.wav
8.807852,6.5445623,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_070000.wav
8.82315,6.542932,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_070000.wav
8.848668,6.5582414,1,1,/silenus/PROJECTS/pr-orchampvision/mielev/biolingual/ARM1_20220505_070000.wav
